"PostType","DateId","Content","PostYear"
"quote","2020-04-05T12:00__ab0569e5-67f4-44df-9e8d-ee62ae526c61","""{""""title"""":""""Henry David Thoreau ~ Walden"""",""""meta"""":{""""hide"""":false},""""body"""":""""I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.""""}""","2020"
"quote","2020-04-15T12:00__f0e7c103-b0dd-49cf-96a6-898efd984b1e","""{""""title"""":""""jed mckenna"""",""""meta"""":{""""hide"""":false},""""body"""":""""When we believe in the world outside of ourselves, gain is often perceived as good and loss as bad. When we stop believing in a world external to self. that reverses: gain becomes bad and loss becomes good. Nothing we can lose was ever ours in the first place. All we can ever lose is illusion.""""}""","2020"
"quote","2020-06-23T12:00__790123f0-79ee-4c18-a007-44b9951c48c9","""{""""title"""":""""jed mckenna"""",""""meta"""":{""""hide"""":false},""""body"""":""""We slip into the lives that are laid out for us the way children slip into the clothes their mother lays out for them in the morning. No one decides. We don't live our lives by choice, but by default.""""}""","2020"
"quote","2020-12-01T12:00__f714cfe7-5449-49f2-9af4-585d2587714b","""{""""title"""":""""quotes on death"""",""""meta"""":{""""hide"""":false},""""body"""":""""## Memento Mori\n\nTo begin depriving death of it's greatest advantage over us, let us adopt a way clean contrary to that of the common one; let us deprive death of it's strageness, let us frequent it, let us get used to it; let us have nothing more often in mind than death. We do not know where death await us: so let us wait for it everywhere. To practice death is to practice freedom. A man who has learned how to die has unlearned how to be a slave.\\\n`michel de montaigne`\n\nfirst you have to know, not fear, know. that some day you're gonna die.. It's only after we lost everything that we're free to anything.\\\n`fight club @1:02:16`\n\nOne of the illusions of life is that the present hour is not the critical, decisive hour. Write it on your heart that every day is the best day in the year. No man has learned anything rightly, until he knows that every day is Doomsday.\\\n`ralph waldo emerson`\n\nAwareness of death is the very bedrock of the entire path. Until you have developed this awareness, all other practices are obstructed.\\\n`Dalai lama`\n\nI have formed during the last few years such a close relationship with this best and truest friend of mankind that death’s image is not only no longer terrifying to me, but is indeed very soothing and consoling, and I thank my God for graciously granting me the opportunity of learning that death is the key which unlocks the door to our true happiness.\\\n`mozart`\n\nThere is but one truly serious philosophical problem and that is suicide. Judging whether life is or is not worth living amounts to answering the fundamental question of philosophy. All the rest — whether or not the world has three dimensions, whether the mind has nine or twelve categories — comes afterwards. These are games; one must first answer.\\\n`albert camus`\n\nDeath smiles at us all. All a man can do is smile back\\\n`marcus aurelius`\n\nto face the fact that you are completely alone and to accept that you are alone is to accept death\\\n`my dinner with andre @1:46:00`""""}""","2020"
"quote","2022-07-15T12:00__b087288a-02e3-462f-952d-fdf2abb57bf4","""{""""title"""":""""ragnar lothbrok ~ vikings s4 e15"""",""""meta"""":{""""hide"""":false},""""body"""":""""It gladdens me to know that Odin prepares for a feast. Soon I shall be drinking ale from curved horns. This hero that comes into Valhalla does not lament his death! I shall not enter Odin's hall with fear.""""}""","2022"
"quote","2022-07-23T12:00__baeaa36c-fd48-4035-b34b-846961e82053","""{""""title"""":""""tao te ching verse 48"""",""""meta"""":{""""hide"""":false},""""body"""":""""## The illusion of control\n\nyou need to forget about what you know,\\\nhitting bottom is not a fucking weekend retreat\\\nits not a god damn seminenar.\\\nStop trying to control everything and just let go.\\\n`fight club @1:38:42`\n\n\nIn pursuit of knowledge,\nevery day something is added.\\\nIn the practice of the Tao,\nevery day something is dropped.\\\nLess and less do you need to force things,\nuntil finally you arrive at non-action.\\\nWhen nothing is done,\nnothing is left undone.\n\nTrue mastery can be gained\nby letting things go their own way.\\\nIt can't be gained by interfering.\n""""}""","2022"
"quote","2023-06-17T12:00__4735ba6c-ab7c-49f4-a9ad-2026c478b3c4","""{""""title"""":""""buddhism"""",""""meta"""":{""""hide"""":false},""""body"""":""""In Buddhist philosophy, Māyā is invoked as one of twenty subsidiary unwholesome mental factors, responsible for deceit or concealment about the nature of things.""""}""","2023"
"quote","2023-12-21T12:00__fcc45fba-a248-4099-87c8-01b9f92a57a2","""{""""title"""":""""Tao Te Ching ~ verse 5"""",""""meta"""":{""""hide"""":false},""""body"""":""""Heaven and Earth are impartial;\\\nThey see the ten thousand things as straw dogs.\\\nThe wise are impartial;\\\nThey see the people as straw dogs.\\\n\\\nThe space between heaven and Earth is like a bellows.\\\nThe shape changes but not the form;\\\nThe more it moves, the more it yields.\\\nMore words count less.\\\n\\\nHold fast to the center.""""}""","2023"
"quote","2024-05-26T12:00__8423213f-b6ee-4e7b-b5a3-7791048d2d03","""{""""title"""":""""youtube user @cr01554nt"""",""""meta"""":{""""hide"""":false},""""body"""":""""when prayer becomes a habit, miracles become a lifestyle""""}""","2024"
"quote","2024-07-09T12:00__56dd2690-c271-460c-832f-fad02720640e","""{""""title"""":""""henry david thoreau ~ walden"""",""""meta"""":{""""hide"""":false},""""body"""":""""We must learn to reawaken and keep ourselves awake, not by mechanical aids, but by an infinite expectation of the dawn, which does not forsake us even in our soundest sleep. I know of no more encouraging fact than the unquestionable ability of man to elevate his life by a conscious endeavour. It is something to be able to paint a particular picture, or to carve a statue, and so to make a few objects beautiful; but it is far more glorious to carve and paint the very atmosphere and medium through which we look, which morally we can do. To affect the quality of the day, that is the highest of arts.""""}""","2024"
"quote","2024-08-23T12:00__c96eac2f-7b95-4f7e-845b-9532ef16e5ec","""{""""title"""":""""if truth be told ~ book"""",""""meta"""":{""""hide"""":false},""""body"""":""""That's the thing with baggage - you get used to carrying it around. You know it's heavy but the weight has a way of becoming a part of your life. Only when you take it off your back and feel the lightness does the awareness of the load hit you.""""}""","2024"
"quote","2024-09-11T12:00__e95e090c-31d0-4f3e-af2d-96cc05e6cb93","""{""""title"""":""""if truth be told ~ book"""",""""meta"""":{""""hide"""":false},""""body"""":""""Beauty does not lie in the eyes of the beholder but in the mind of the perceiver. The cleaner the mind, the greater the beauty; the quieter the mind, the more enduring the experience.""""}""","2024"
"quote","2024-09-18T12:00__39568514-2c6a-4767-b0c4-6f16a9a50167","""{""""title"""":""""bad trip on lsd ~ hiab-x"""",""""meta"""":{""""hide"""":false},""""body"""":""""I noticed a cross which had a festering pile of bloody guts and organs spread across it, staining the wood in crimson. The guts were smothered in wasps, stinging the ruined flesh causing venomous pestles. It was an image of impossible pain, and then the monologue returned, booming over the sirens, droning over the wasps: 'this is Christ; he is still suffering for your sins, still paying the price.'""""}""","2024"
"quote","2024-09-21T12:00__04c01c7b-0ed1-4d4e-822c-b8eca843e375","""{""""title"""":""""bumpersticker"""",""""meta"""":{""""hide"""":false},""""body"""":""""Relax, nothing is under control.""""}""","2024"
"quote","2024-11-05T12:00__36fce3eb-b83f-45c3-a934-858815b3edd4","""{""""title"""":""""Deus Ex: Human Revolution Trailer"""",""""meta"""":{""""hide"""":false},""""body"""":""""It's not the end of the world, but you can see it from here.""""}""","2024"
